PaperKey,QuestionID,Year,Venue,VenueType,Title,Authors,DomainTopic,ScenarioType,MethodsUsed,Artifacts,ImpliedQuestions,PrimarySecondary,QuestionCategory,MetamodelTags,MoEs,MoPs,EvidenceType,Reproducibility,Access,SecurityLevel,DecisionType,ModelType,SourceURL,Citation,DomainSpecificHits,IsLikelyDomainSpecific,ImpliedQuestions_GenericDraft,GenericizationChanged,GenericQuestion,QuestionTemplate,InstantiationNotes,InstantiatedQuestion,GenericAcronymFlag
GAP-ETHICS,ETHICS-Q01,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Ethics & Legal Compliance,Claude Code (Draft),Ethics; legal compliance; autonomous systems governance,Autonomous system employment scenario,Literature gap analysis,Draft questions,"What legal authorities and rules of engagement constraints must be encoded into autonomous system behaviors, and how should these constraints be validated and updated?",Primary,Legal & ethical constraints,"Authority; Constraint; Autonomy; Verification; Compliance; Governance",Legal compliance rate; constraint coverage,Constraint encoding accuracy; update latency,Gap analysis,N/A,Draft,Unclassified,Autonomy governance,Conceptual,,Gap Analysis (2025). Draft questions for ethics and legal coverage gaps.,[],False,"What legal authorities and rules of engagement constraints must be encoded into autonomous system behaviors, and how should these constraints be validated and updated?",False,"What legal authorities and rules of engagement constraints must be encoded into autonomous system behaviors, and how should these constraints be validated and updated?",What,,"What legal authorities and rules of engagement constraints must be encoded into autonomous system behaviors, and how should these constraints be validated and updated?",False
GAP-ETHICS,ETHICS-Q02,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Ethics & Legal Compliance,Claude Code (Draft),Ethics; legal compliance; autonomous systems governance,Autonomous system employment scenario,Literature gap analysis,Draft questions,"How should human oversight be structured for autonomous systems to ensure accountability while maintaining operational tempo and effectiveness?",Primary,Legal & ethical constraints,"Oversight; Accountability; Autonomy; Tempo; Tradeoff; Governance",Accountability assurance; tempo maintenance,Oversight response time; accountability trace completeness,Gap analysis,N/A,Draft,Unclassified,Oversight architecture,Conceptual,,Gap Analysis (2025). Draft questions for ethics and legal coverage gaps.,[],False,"How should human oversight be structured for autonomous systems to ensure accountability while maintaining operational tempo and effectiveness?",False,"How should human oversight be structured for autonomous systems to ensure accountability while maintaining operational tempo and effectiveness?",How,,"How should human oversight be structured for autonomous systems to ensure accountability while maintaining operational tempo and effectiveness?",False
GAP-ETHICS,ETHICS-Q03,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Ethics & Legal Compliance,Claude Code (Draft),Ethics; legal compliance; autonomous systems governance,Autonomous system employment scenario,Literature gap analysis,Draft questions,"Which decision types require human-in-the-loop approval versus human-on-the-loop monitoring, and how do these boundaries shift based on operational context?",Primary,Legal & ethical constraints,"Decision; Authority; Autonomy; Context; Boundary; Governance",Decision authority clarity; context adaptability,Decision classification accuracy; boundary adaptation time,Gap analysis,N/A,Draft,Unclassified,Authority allocation,Conceptual,,Gap Analysis (2025). Draft questions for ethics and legal coverage gaps.,[],False,"Which decision types require human-in-the-loop approval versus human-on-the-loop monitoring, and how do these boundaries shift based on operational context?",False,"Which decision types require human-in-the-loop approval versus human-on-the-loop monitoring, and how do these boundaries shift based on operational context?",Which,,"Which decision types require human-in-the-loop approval versus human-on-the-loop monitoring, and how do these boundaries shift based on operational context?",False
GAP-ETHICS,ETHICS-Q04,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Ethics & Legal Compliance,Claude Code (Draft),Ethics; legal compliance; autonomous systems governance,Autonomous system employment scenario,Literature gap analysis,Draft questions,"What audit trails and decision logs are required to demonstrate compliance with legal and policy constraints during post-mission review?",Primary,Compliance & governance,"Audit; Traceability; Compliance; Evidence; Review; Governance",Audit completeness; compliance demonstrability,Log coverage rate; review preparation time,Gap analysis,N/A,Draft,Unclassified,Audit architecture,Conceptual,,Gap Analysis (2025). Draft questions for ethics and legal coverage gaps.,[],False,"What audit trails and decision logs are required to demonstrate compliance with legal and policy constraints during post-mission review?",False,"What audit trails and decision logs are required to demonstrate compliance with legal and policy constraints during post-mission review?",What,,"What audit trails and decision logs are required to demonstrate compliance with legal and policy constraints during post-mission review?",False
GAP-ETHICS,ETHICS-Q05,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Ethics & Legal Compliance,Claude Code (Draft),Ethics; legal compliance; autonomous systems governance,Autonomous system employment scenario,Literature gap analysis,Draft questions,"How should systems handle situations where mission objectives conflict with legal, ethical, or policy constraints, and who has authority to resolve such conflicts?",Primary,Legal & ethical constraints,"Conflict; Authority; Constraint; Decision; Resolution; Governance",Conflict resolution effectiveness; authority clarity,Resolution time; escalation accuracy,Gap analysis,N/A,Draft,Unclassified,Conflict resolution governance,Conceptual,,Gap Analysis (2025). Draft questions for ethics and legal coverage gaps.,[],False,"How should systems handle situations where mission objectives conflict with legal, ethical, or policy constraints, and who has authority to resolve such conflicts?",False,"How should systems handle situations where mission objectives conflict with legal, ethical, or policy constraints, and who has authority to resolve such conflicts?",How,,"How should systems handle situations where mission objectives conflict with legal, ethical, or policy constraints, and who has authority to resolve such conflicts?",False
GAP-SUSTAIN,SUSTAIN-Q01,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Sustainment & Lifecycle,Claude Code (Draft),Sustainment; lifecycle management; obsolescence,System lifecycle management scenario,Literature gap analysis,Draft questions,"At what point does the cost of sustaining a legacy system exceed the cost of replacement, and what factors beyond direct cost should influence transition decisions?",Primary,Sustainment & obsolescence,"Cost; Lifecycle; Decision; Tradeoff; Sustainment; Transition",Total ownership cost accuracy; transition timing,Sustainment cost trend; replacement threshold,Gap analysis,N/A,Draft,Unclassified,Lifecycle transition decision,Conceptual,,Gap Analysis (2025). Draft questions for sustainment coverage gaps.,[],False,"At what point does the cost of sustaining a legacy system exceed the cost of replacement, and what factors beyond direct cost should influence transition decisions?",False,"At what point does the cost of sustaining a legacy system exceed the cost of replacement, and what factors beyond direct cost should influence transition decisions?",What,,"At what point does the cost of sustaining a legacy system exceed the cost of replacement, and what factors beyond direct cost should influence transition decisions?",False
GAP-SUSTAIN,SUSTAIN-Q02,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Sustainment & Lifecycle,Claude Code (Draft),Sustainment; lifecycle management; obsolescence,System lifecycle management scenario,Literature gap analysis,Draft questions,"What spare parts inventory levels and depot maintenance capacity are required to sustain target mission readiness rates across the fleet lifecycle?",Primary,Sustainment & obsolescence,"Sustainment; Readiness; Inventory; Capacity; Requirement; Measure",Mission readiness rate; inventory adequacy,Spare parts availability; depot throughput,Gap analysis,N/A,Draft,Unclassified,Sustainment planning,Conceptual,,Gap Analysis (2025). Draft questions for sustainment coverage gaps.,[],False,"What spare parts inventory levels and depot maintenance capacity are required to sustain target mission readiness rates across the fleet lifecycle?",False,"What spare parts inventory levels and depot maintenance capacity are required to sustain target mission readiness rates across the fleet lifecycle?",What,,"What spare parts inventory levels and depot maintenance capacity are required to sustain target mission readiness rates across the fleet lifecycle?",False
GAP-SUSTAIN,SUSTAIN-Q03,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Sustainment & Lifecycle,Claude Code (Draft),Sustainment; lifecycle management; obsolescence,System lifecycle management scenario,Literature gap analysis,Draft questions,"How should technology refresh cycles be synchronized across interdependent systems to maintain interoperability while avoiding fleet-wide capability gaps?",Primary,Technology refresh & modernization,"Synchronization; Interoperability; Schedule; Dependency; Capability; Risk",Interoperability maintenance; gap avoidance,Refresh cycle alignment; capability gap duration,Gap analysis,N/A,Draft,Unclassified,Technology refresh planning,Conceptual,,Gap Analysis (2025). Draft questions for sustainment coverage gaps.,[],False,"How should technology refresh cycles be synchronized across interdependent systems to maintain interoperability while avoiding fleet-wide capability gaps?",False,"How should technology refresh cycles be synchronized across interdependent systems to maintain interoperability while avoiding fleet-wide capability gaps?",How,,"How should technology refresh cycles be synchronized across interdependent systems to maintain interoperability while avoiding fleet-wide capability gaps?",False
GAP-SUSTAIN,SUSTAIN-Q04,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Sustainment & Lifecycle,Claude Code (Draft),Sustainment; lifecycle management; obsolescence,System lifecycle management scenario,Literature gap analysis,Draft questions,"Which components and subsystems are most vulnerable to obsolescence or supply chain disruption, and what mitigation strategies provide the best long-term value?",Primary,Sustainment & obsolescence,"Obsolescence; Risk; Supply Chain; Mitigation; Component; Tradeoff",Obsolescence risk reduction; mitigation value,Component vulnerability score; mitigation ROI,Gap analysis,N/A,Draft,Unclassified,Obsolescence mitigation,Conceptual,,Gap Analysis (2025). Draft questions for sustainment coverage gaps.,[],False,"Which components and subsystems are most vulnerable to obsolescence or supply chain disruption, and what mitigation strategies provide the best long-term value?",False,"Which components and subsystems are most vulnerable to obsolescence or supply chain disruption, and what mitigation strategies provide the best long-term value?",Which,,"Which components and subsystems are most vulnerable to obsolescence or supply chain disruption, and what mitigation strategies provide the best long-term value?",False
GAP-SUSTAIN,SUSTAIN-Q05,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Sustainment & Lifecycle,Claude Code (Draft),Sustainment; lifecycle management; obsolescence,System lifecycle management scenario,Literature gap analysis,Draft questions,"What decommissioning and disposal requirements should be considered during system design to minimize end-of-life costs and environmental impact?",Primary,End-of-life & disposal,"Disposal; Design; Cost; Environment; Requirement; Lifecycle",End-of-life cost; environmental compliance,Disposal cost estimate accuracy; environmental impact score,Gap analysis,N/A,Draft,Unclassified,Design for disposal,Conceptual,,Gap Analysis (2025). Draft questions for sustainment coverage gaps.,[],False,"What decommissioning and disposal requirements should be considered during system design to minimize end-of-life costs and environmental impact?",False,"What decommissioning and disposal requirements should be considered during system design to minimize end-of-life costs and environmental impact?",What,,"What decommissioning and disposal requirements should be considered during system design to minimize end-of-life costs and environmental impact?",False
GAP-HMT,HMT-Q01,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Human-Machine Teaming,Claude Code (Draft),Human-machine teaming; automation; operator workload,Human-machine team operations scenario,Literature gap analysis,Draft questions,"How should automation levels dynamically adapt based on operator workload, stress, and situational complexity to optimize team performance?",Primary,Human-machine teaming,"Automation; Workload; Adaptation; Performance; Operator; System",Team performance; workload optimization,Automation adaptation accuracy; workload balance,Gap analysis,N/A,Draft,Unclassified,Adaptive automation design,Conceptual,,Gap Analysis (2025). Draft questions for human-machine teaming coverage gaps.,[],False,"How should automation levels dynamically adapt based on operator workload, stress, and situational complexity to optimize team performance?",False,"How should automation levels dynamically adapt based on operator workload, stress, and situational complexity to optimize team performance?",How,,"How should automation levels dynamically adapt based on operator workload, stress, and situational complexity to optimize team performance?",False
GAP-HMT,HMT-Q02,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Human-Machine Teaming,Claude Code (Draft),Human-machine teaming; automation; operator workload,Human-machine team operations scenario,Literature gap analysis,Draft questions,"What information should be presented to operators versus processed autonomously, and how should this allocation change based on mission phase and tempo?",Primary,Human-machine teaming,"Information; Automation; Allocation; Operator; Tempo; Decision",Information allocation effectiveness; operator awareness,Information relevance score; allocation adaptation time,Gap analysis,N/A,Draft,Unclassified,Information allocation design,Conceptual,,Gap Analysis (2025). Draft questions for human-machine teaming coverage gaps.,[],False,"What information should be presented to operators versus processed autonomously, and how should this allocation change based on mission phase and tempo?",False,"What information should be presented to operators versus processed autonomously, and how should this allocation change based on mission phase and tempo?",What,,"What information should be presented to operators versus processed autonomously, and how should this allocation change based on mission phase and tempo?",False
GAP-HMT,HMT-Q03,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Human-Machine Teaming,Claude Code (Draft),Human-machine teaming; automation; operator workload,Human-machine team operations scenario,Literature gap analysis,Draft questions,"Which interface designs and decision aids most effectively support rapid operator comprehension and appropriate trust calibration in human-machine teams?",Primary,Operator cognitive factors,"Interface; Trust; Decision; Operator; Design; Measure",Comprehension speed; trust calibration,Comprehension time; trust accuracy,Gap analysis,N/A,Draft,Unclassified,Interface design selection,Conceptual,,Gap Analysis (2025). Draft questions for human-machine teaming coverage gaps.,[],False,"Which interface designs and decision aids most effectively support rapid operator comprehension and appropriate trust calibration in human-machine teams?",False,"Which interface designs and decision aids most effectively support rapid operator comprehension and appropriate trust calibration in human-machine teams?",Which,,"Which interface designs and decision aids most effectively support rapid operator comprehension and appropriate trust calibration in human-machine teams?",False
GAP-HMT,HMT-Q04,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Human-Machine Teaming,Claude Code (Draft),Human-machine teaming; automation; operator workload,Human-machine team operations scenario,Literature gap analysis,Draft questions,"How should systems communicate their confidence, limitations, and reasoning to human teammates to enable effective oversight and intervention?",Primary,Human-machine teaming,"Transparency; Communication; Confidence; Oversight; Trust; Interface",Oversight effectiveness; intervention appropriateness,Explanation clarity score; intervention timing accuracy,Gap analysis,N/A,Draft,Unclassified,Transparency design,Conceptual,,Gap Analysis (2025). Draft questions for human-machine teaming coverage gaps.,[],False,"How should systems communicate their confidence, limitations, and reasoning to human teammates to enable effective oversight and intervention?",False,"How should systems communicate their confidence, limitations, and reasoning to human teammates to enable effective oversight and intervention?",How,,"How should systems communicate their confidence, limitations, and reasoning to human teammates to enable effective oversight and intervention?",False
GAP-HMT,HMT-Q05,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Human-Machine Teaming,Claude Code (Draft),Human-machine teaming; automation; operator workload,Human-machine team operations scenario,Literature gap analysis,Draft questions,"What training and rehearsal approaches best prepare operators to work effectively with autonomous teammates across both nominal and off-nominal conditions?",Primary,Operator cognitive factors,"Training; Operator; Autonomy; Performance; Scenario; Readiness",Training effectiveness; off-nominal readiness,Skill acquisition rate; off-nominal performance,Gap analysis,N/A,Draft,Unclassified,Training program design,Conceptual,,Gap Analysis (2025). Draft questions for human-machine teaming coverage gaps.,[],False,"What training and rehearsal approaches best prepare operators to work effectively with autonomous teammates across both nominal and off-nominal conditions?",False,"What training and rehearsal approaches best prepare operators to work effectively with autonomous teammates across both nominal and off-nominal conditions?",What,,"What training and rehearsal approaches best prepare operators to work effectively with autonomous teammates across both nominal and off-nominal conditions?",False
GAP-FAILURE,FAILURE-Q01,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Failure Modes & Graceful Degradation,Claude Code (Draft),Failure analysis; graceful degradation; system resilience,System failure scenario analysis,Literature gap analysis,Draft questions,"What single points of failure exist in the mission architecture, and which have no operational workaround if they occur during critical mission phases?",Primary,Failure mode analysis,"Failure; Architecture; Risk; Mission; Vulnerability; Criticality",SPOF identification completeness; workaround coverage,SPOF count; workaround availability rate,Gap analysis,N/A,Draft,Unclassified,Failure mode identification,Conceptual,,Gap Analysis (2025). Draft questions for failure mode coverage gaps.,[],False,"What single points of failure exist in the mission architecture, and which have no operational workaround if they occur during critical mission phases?",False,"What single points of failure exist in the mission architecture, and which have no operational workaround if they occur during critical mission phases?",What,,"What single points of failure exist in the mission architecture, and which have no operational workaround if they occur during critical mission phases?",False
GAP-FAILURE,FAILURE-Q02,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Failure Modes & Graceful Degradation,Claude Code (Draft),Failure analysis; graceful degradation; system resilience,System failure scenario analysis,Literature gap analysis,Draft questions,"How does mission effectiveness degrade as individual systems fail, and what is the minimum viable system configuration to achieve essential mission objectives?",Primary,Failure mode analysis,"Degradation; Performance; Mission; Configuration; Threshold; Measure",Degradation curve accuracy; MVP identification,Effectiveness vs failure count; MVP coverage,Gap analysis,N/A,Draft,Unclassified,Degradation analysis,Conceptual,,Gap Analysis (2025). Draft questions for failure mode coverage gaps.,[],False,"How does mission effectiveness degrade as individual systems fail, and what is the minimum viable system configuration to achieve essential mission objectives?",False,"How does mission effectiveness degrade as individual systems fail, and what is the minimum viable system configuration to achieve essential mission objectives?",How,,"How does mission effectiveness degrade as individual systems fail, and what is the minimum viable system configuration to achieve essential mission objectives?",False
GAP-FAILURE,FAILURE-Q03,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Failure Modes & Graceful Degradation,Claude Code (Draft),Failure analysis; graceful degradation; system resilience,System failure scenario analysis,Literature gap analysis,Draft questions,"Which failure combinations create cascading effects that exceed the sum of individual failures, and how can architecture be designed to contain such cascades?",Primary,Graceful degradation & recovery,"Cascade; Failure; Architecture; Containment; Risk; Design",Cascade containment; non-linear effect identification,Cascade propagation rate; containment effectiveness,Gap analysis,N/A,Draft,Unclassified,Cascade prevention design,Conceptual,,Gap Analysis (2025). Draft questions for failure mode coverage gaps.,[],False,"Which failure combinations create cascading effects that exceed the sum of individual failures, and how can architecture be designed to contain such cascades?",False,"Which failure combinations create cascading effects that exceed the sum of individual failures, and how can architecture be designed to contain such cascades?",Which,,"Which failure combinations create cascading effects that exceed the sum of individual failures, and how can architecture be designed to contain such cascades?",False
GAP-FAILURE,FAILURE-Q04,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Failure Modes & Graceful Degradation,Claude Code (Draft),Failure analysis; graceful degradation; system resilience,System failure scenario analysis,Literature gap analysis,Draft questions,"What automated and manual recovery procedures should be available for each failure mode, and how should operators be alerted and guided through recovery?",Primary,Graceful degradation & recovery,"Recovery; Procedure; Operator; Alert; Guidance; Failure",Recovery success rate; operator guidance effectiveness,Recovery time; procedure compliance rate,Gap analysis,N/A,Draft,Unclassified,Recovery procedure design,Conceptual,,Gap Analysis (2025). Draft questions for failure mode coverage gaps.,[],False,"What automated and manual recovery procedures should be available for each failure mode, and how should operators be alerted and guided through recovery?",False,"What automated and manual recovery procedures should be available for each failure mode, and how should operators be alerted and guided through recovery?",What,,"What automated and manual recovery procedures should be available for each failure mode, and how should operators be alerted and guided through recovery?",False
